variant,prime,residue_raw,residue_normalized
5,5,0,0.000000000000
5,7,5,0.714285714286
5,11,8,0.727272727273
5,13,9,0.692307692308
5,17,4,0.235294117647
5,19,4,0.210526315789
5,23,22,0.956521739130
5,29,4,0.137931034483
5,31,29,0.935483870968
5,37,23,0.621621621622
5,41,22,0.536585365854
5,43,19,0.441860465116
5,47,5,0.106382978723
5,53,2,0.037735849057
5,59,17,0.288135593220
5,61,13,0.213114754098
5,67,59,0.880597014925
5,71,37,0.521126760563
5,73,41,0.561643835616
5,79,72,0.911392405063
5,83,50,0.602409638554
5,89,60,0.674157303371
5,97,24,0.247422680412
5,101,49,0.485148514851
5,103,61,0.592233009709
5,107,80,0.747663551402
5,109,66,0.605504587156
5,113,100,0.884955752212
5,127,105,0.826771653543
5,131,12,0.091603053435
5,137,93,0.678832116788
5,139,76,0.546762589928
5,149,139,0.932885906040
5,151,135,0.894039735099
5,157,74,0.471337579618
5,163,71,0.435582822086
5,167,147,0.880239520958
5,173,89,0.514450867052
5,179,144,0.804469273743
5,181,168,0.928176795580
5,191,37,0.193717277487
5,193,141,0.730569948187
5,197,10,0.050761421320
5,199,29,0.145728643216
5,211,169,0.800947867299
5,223,186,0.834080717489
5,227,60,0.264317180617
5,229,114,0.497816593886
5,233,69,0.296137339056
5,239,208,0.870292887029
5,241,72,0.298755186722
5,251,19,0.075697211155
5,257,28,0.108949416342
5,263,216,0.821292775665
5,269,10,0.037174721190
5,271,216,0.797047970480
5,277,85,0.306859205776
5,281,196,0.697508896797
5,283,64,0.226148409894
5,293,151,0.515358361775
5,307,26,0.084690553746
5,311,177,0.569131832797
5,313,154,0.492012779553
5,317,275,0.867507886435
5,331,28,0.084592145015
5,337,329,0.976261127596
5,347,55,0.158501440922
5,349,135,0.386819484241
5,353,344,0.974504249292
5,359,275,0.766016713092
5,367,285,0.776566757493
5,373,275,0.737265415550
5,379,266,0.701846965699
5,383,226,0.590078328982
5,389,280,0.719794344473
5,397,279,0.702770780856
5,401,59,0.147132169576
5,409,218,0.533007334963
5,419,95,0.226730310263
5,421,389,0.923990498812
5,431,429,0.995359628770
5,433,214,0.494226327945
5,439,173,0.394077448747
5,443,260,0.586907449210
5,449,372,0.828507795100
5,457,429,0.938730853392
5,461,455,0.986984815618
5,463,432,0.933045356371
5,467,437,0.935760171306
5,479,340,0.709812108559
5,487,286,0.587268993840
5,491,296,0.602851323829
5,499,308,0.617234468938
5,503,469,0.932405566600
5,509,32,0.062868369352
5,521,504,0.967370441459
5,523,144,0.275334608031
5,541,469,0.866913123845
5,547,344,0.628884826325
5,557,424,0.761220825853
5,563,171,0.303730017762
5,569,91,0.159929701230
5,571,124,0.217162872154
5,577,356,0.616984402080
5,587,211,0.359454855196
5,593,162,0.273187183811
5,599,488,0.814691151920
5,601,222,0.369384359401
5,607,605,0.996705107084
5,613,172,0.280587275693
5,617,337,0.546191247974
5,619,506,0.817447495961
5,631,592,0.938193343899
5,641,247,0.385335413417
5,643,29,0.045101088647
5,647,117,0.180834621329
5,653,504,0.771822358346
5,659,94,0.142640364188
5,661,89,0.134644478064
5,673,64,0.095096582467
5,677,162,0.239290989660
5,683,308,0.450951683748
5,691,473,0.684515195369
5,701,76,0.108416547789
5,709,405,0.571227080395
5,719,360,0.500695410292
5,727,217,0.298486932600
5,733,165,0.225102319236
5,739,121,0.163734776725
5,743,664,0.893674293405
5,751,125,0.166444740346
5,757,506,0.668428005284
5,761,621,0.816031537451
5,769,749,0.973992197659
5,773,45,0.058214747736
5,787,19,0.024142312579
5,797,782,0.981179422836
5,809,190,0.234857849197
5,811,428,0.527743526510
5,821,568,0.691839220463
5,823,216,0.262454434994
5,827,32,0.038694074970
5,829,125,0.150784077201
5,839,285,0.339690107271
5,853,621,0.728018757327
5,857,432,0.504084014002
5,859,488,0.568102444703
5,863,169,0.195828505214
5,877,350,0.399087799316
5,881,790,0.896708286039
5,883,263,0.297848244621
5,887,410,0.462232243517
5,907,886,0.976846747519
5,911,635,0.697036223930
5,919,685,0.745375408052
5,929,183,0.196986006459
5,937,590,0.629669156884
5,941,669,0.710945802338
5,947,465,0.491024287223
5,953,841,0.882476390346
5,967,849,0.877973112720
5,971,311,0.320288362513
5,977,4,0.004094165814
5,983,941,0.957273652085
5,991,698,0.704339051463
5,997,224,0.224674022066
5,1009,730,0.723488602577
5,1013,473,0.466929911155
5,1019,545,0.534838076546
5,1021,606,0.593535749265
5,1031,88,0.085354025218
5,1033,719,0.696030977735
5,1039,730,0.702598652551
5,1049,357,0.340324118208
5,1051,909,0.864890580400
5,1061,605,0.570216776626
5,1063,319,0.300094073377
5,1069,408,0.381665107577
5,1087,129,0.118675252990
5,1091,853,0.781851512374
5,1093,213,0.194876486734
5,1097,384,0.350045578851
5,1103,457,0.414324569356
5,1109,890,0.802524797115
5,1117,828,0.741271262310
5,1123,193,0.171861086376
5,1129,454,0.402125775022
5,1151,740,0.642919200695
5,1153,630,0.546400693842
5,1163,985,0.846947549441
5,1171,527,0.450042698548
5,1181,980,0.829805249788
5,1187,1080,0.909856781803
5,1193,792,0.663872590109
5,1201,917,0.763530391341
5,1213,504,0.415498763397
5,1217,526,0.432210353328
5,1223,355,0.290269828291
5,1229,150,0.122050447518
5,1231,652,0.529650690496
5,1237,645,0.521422797090
5,1249,996,0.797437950360
5,1259,526,0.417791898332
5,1277,198,0.155050900548
5,1279,1043,0.815480844410
5,1283,576,0.448947778644
5,1289,839,0.650892164469
5,1291,461,0.357087529047
5,1297,68,0.052428681573
5,1301,1152,0.885472713297
5,1303,764,0.586339217191
5,1307,592,0.452945677123
5,1319,748,0.567096285064
5,1321,547,0.414080242241
5,1327,1147,0.864355689525
5,1361,605,0.444526083762
5,1367,993,0.726408193124
5,1373,392,0.285506190823
5,1381,39,0.028240405503
5,1399,1064,0.760543245175
5,1409,415,0.294535131299
5,1423,544,0.382290934645
5,1427,751,0.526278906797
5,1429,892,0.624212736179
5,1433,449,0.313328681089
5,1439,126,0.087560806115
5,1447,336,0.232204561161
5,1451,68,0.046864231564
5,1453,831,0.571920165175
5,1459,1138,0.779986291981
5,1471,1230,0.836165873555
5,1481,318,0.214719783930
5,1483,182,0.122724207687
5,1487,427,0.287155346335
5,1489,331,0.222296843519
5,1493,294,0.196918955124
5,1499,933,0.622414943296
5,1511,304,0.201191264064
5,1523,348,0.228496388707
5,1531,1513,0.988242978445
5,1543,1059,0.686325340246
5,1549,185,0.119431891543
5,1553,1341,0.863490019317
5,1559,896,0.574727389352
5,1567,844,0.538608806637
5,1571,1268,0.807129217059
5,1579,1279,0.810006333122
5,1583,735,0.464308275426
5,1597,1374,0.860363180964
5,1601,1538,0.960649594004
5,1607,742,0.461729931549
5,1609,737,0.458048477315
5,1613,332,0.205827650341
5,1619,1098,0.678196417542
5,1621,102,0.062924120913
5,1627,737,0.452980946527
5,1637,470,0.287110568112
5,1657,410,0.247435123718
5,1663,1045,0.628382441371
5,1667,328,0.196760647870
5,1669,1454,0.871180347513
5,1693,558,0.329592439457
5,1697,208,0.122569239835
5,1699,1505,0.885815185403
5,1709,1682,0.984201287303
5,1721,176,0.102266124346
5,1723,783,0.454439930354
5,1733,1482,0.855164454703
5,1741,833,0.478460654796
5,1747,1400,0.801373783629
5,1753,894,0.509982886480
5,1759,1310,0.744741330301
5,1777,303,0.170512099043
5,1783,1097,0.615255187886
5,1787,1598,0.894236149972
5,1789,1531,0.855785354947
5,1801,637,0.353692393115
5,1811,72,0.039757040309
5,1823,246,0.134942402633
5,1831,282,0.154014199891
5,1847,616,0.333513806172
5,1861,567,0.304674905965
5,1867,1452,0.777718264596
5,1871,526,0.281133083912
5,1873,1673,0.893219434063
5,1877,358,0.190729888119
5,1879,780,0.415114422565
5,1889,1217,0.644256220222
5,1901,227,0.119410836402
5,1907,1479,0.775563712638
5,1913,1899,0.992681651856
5,1931,710,0.367685137235
5,1933,1783,0.922400413864
5,1949,874,0.448435094920
5,1951,863,0.442337262942
5,1973,1359,0.688798783578
5,1979,1060,0.535624052552
5,1987,52,0.026170105687
5,1993,514,0.257902659308
5,1997,252,0.126189283926
5,1999,222,0.111055527764
